"","kb","mb","fileType","gitUrl","tweetID","fileCode","tweetURL"
"3246",251.266,0.251,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1370768002614968323-EwXyOhsXEAId5Qi.mp4","1370768002614968323","-EwXyOhsXEAId5Qi.mp4","https://twitter.com/jmhenner/status/1370768002614968323"
"3247",68.445,0.068,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1370779594740150277-EwX8wfsWUAIP1yo.mp4","1370779594740150277","-EwX8wfsWUAIP1yo.mp4","https://twitter.com/jmhenner/status/1370779594740150277"
"3248",26.23,0.026,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1370821033545060352-EwYidhjWQAQBfKu.mp4","1370821033545060352","-EwYidhjWQAQBfKu.mp4","https://twitter.com/jmhenner/status/1370821033545060352"
"3249",25.655,0.026,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1370861587947479044-EwZHWLQXMAMVS_9.mp4","1370861587947479044","-EwZHWLQXMAMVS_9.mp4","https://twitter.com/jmhenner/status/1370861587947479044"
"3250",97.339,0.097,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1370862017368752134-EwZHu6BXIAg_CWI.mp4","1370862017368752134","-EwZHu6BXIAg_CWI.mp4","https://twitter.com/jmhenner/status/1370862017368752134"
"3251",75.173,0.075,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1370879361230979073-EwZXguFWYAUkb1r.mp4","1370879361230979073","-EwZXguFWYAUkb1r.mp4","https://twitter.com/jmhenner/status/1370879361230979073"
"3252",35.525,0.036,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1370956402005585925-EwadlEZXIAErBfe.mp4","1370956402005585925","-EwadlEZXIAErBfe.mp4","https://twitter.com/jmhenner/status/1370956402005585925"
"3253",147.853,0.148,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1370956853719527424-Ewad_XyXIAIIT7q.mp4","1370956853719527424","-Ewad_XyXIAIIT7q.mp4","https://twitter.com/jmhenner/status/1370956853719527424"
"3254",59.04,0.059,".jpg","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1370961277342916616-EwaDFIuW8AMzFab.jpg","1370961277342916616","-EwaDFIuW8AMzFab.jpg","https://twitter.com/jmhenner/status/1370961277342916616"
"3255",2990.226,2.99,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1371059128026685441-OTkB9iL1bD7IeAXI.mp4","1371059128026685441","-OTkB9iL1bD7IeAXI.mp4","https://twitter.com/jmhenner/status/1371059128026685441"
"3256",23.405,0.023,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1371237012582334469-EwecywMXMAQe6BZ.mp4","1371237012582334469","-EwecywMXMAQe6BZ.mp4","https://twitter.com/jmhenner/status/1371237012582334469"
"3257",69.507,0.07,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1371246941502382086-Ewel0sqWgAUHwgv.mp4","1371246941502382086","-Ewel0sqWgAUHwgv.mp4","https://twitter.com/jmhenner/status/1371246941502382086"
"3258",52.638,0.053,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1371247100185432065-Ewel97pXIAI9Crz.mp4","1371247100185432065","-Ewel97pXIAI9Crz.mp4","https://twitter.com/jmhenner/status/1371247100185432065"
"3259",53.067,0.053,".jpg","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1371247453769465856-EwemSq3WEAY3fwF.jpg","1371247453769465856","-EwemSq3WEAY3fwF.jpg","https://twitter.com/jmhenner/status/1371247453769465856"
"3260",22.274,0.022,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1371273656098291712-Ewe-HbfWgAAj9Ir.mp4","1371273656098291712","-Ewe-HbfWgAAj9Ir.mp4","https://twitter.com/jmhenner/status/1371273656098291712"
"3261",405.421,0.405,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1371480648637091845-D8_016Opeeaqd1By.mp4","1371480648637091845","-D8_016Opeeaqd1By.mp4","https://twitter.com/jmhenner/status/1371480648637091845"
